City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Garoua Boulai,CM,5.8833,14.55,62.53,25,26,3.96,scattered clouds
212,Richards Bay,ZA,-28.783,32.0377,73.11,81,1,11.21,clear sky
213,Kadoma,JP,34.7333,135.5833,43.18,73,75,5.75,broken clouds
214,Nanakuli,US,21.3906,-158.1547,76.98,68,0,10.36,clear sky
215,Chadiza,ZM,-14.0678,32.4392,64.24,98,100,2.95,light rain
216,Constitucion,CL,-35.3333,-72.4167,58.15,93,19,7.43,few clouds
217,Staryy Krym,UA,45.0333,35.1,31.91,72,95,6.89,overcast clouds
218,Sayyan,YE,15.1718,44.3244,53.85,30,100,4.99,overcast clouds
219,Nikolskoye,RU,59.7035,30.7861,35.87,92,100,9.86,light snow
220,Ribeira Grande,PT,38.5167,-28.7,61.99,93,100,14.99,overcast clouds
221,Iskitim,RU,54.6366,83.3045,0.79,88,50,10.07,scattered clouds
222,Joshimath,IN,30.5667,79.5667,54.03,26,0,3.67,clear sky
223,Lumberton,US,34.6182,-79.0086,56.34,65,100,6.2,overcast clouds
224,Halifax,CA,44.6453,-63.5724,41.49,93,61,5.75,broken clouds
225,Senneterre,CA,48.3835,-77.2328,-18.18,99,66,1.25,broken clouds
226,Ganzhou,CN,28.8184,115.4327,44.19,88,100,2.46,overcast clouds
227,Mackay,AU,-21.15,149.2,81.68,78,40,21.85,scattered clouds
228,Dikson,RU,73.5069,80.5464,-4.83,90,100,24.9,overcast clouds
229,Searcy,US,35.2506,-91.7363,30.52,56,0,0.0,clear sky
230,Nishihara,JP,26.1842,127.7558,71.65,83,75,8.05,broken clouds
231,Mount Gambier,AU,-37.8333,140.7667,84.11,23,100,12.66,overcast clouds
232,Masumbwe,TZ,-3.6333,32.1833,64.51,93,97,2.15,overcast clouds
233,Port Hardy,CA,50.6996,-127.4199,45.75,93,75,4.61,broken clouds
234,Bonthe,SL,7.5264,-12.505,74.3,93,12,2.46,few clouds
235,Caarapo,BR,-22.6342,-54.8222,69.17,62,10,3.29,clear sky
236,Viedma,AR,-40.8135,-62.9967,67.6,31,40,4.25,scattered clouds
237,Swan River,CA,52.1058,-101.2676,-13.11,77,13,5.75,few clouds
238,Kohlu,PK,29.8962,69.252,57.69,22,0,1.83,clear sky
239,Chum Phae,TH,16.5443,102.0992,89.2,44,96,3.47,overcast clouds
