City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Novopokrovka,UA,2022-02-12 23:38:25,49.8425,36.5477,26.29,93,46,6.71
143,Cawayan,PH,2022-02-12 23:38:25,9.9718,122.6249,79.29,79,100,7.9
144,Laguna,US,2022-02-12 23:38:26,38.421,-121.4238,79.3,42,0,3.44
145,Torbay,CA,2022-02-12 23:38:26,47.6666,-52.7314,47.17,81,100,24.16
146,Hambantota,LK,2022-02-12 23:38:27,6.1241,81.1185,76.5,84,77,7.05
147,Lebu,CL,2022-02-12 23:38:27,-37.6167,-73.65,59.27,87,42,9.48
148,Yar-Sale,RU,2022-02-12 23:38:28,66.8333,70.8333,-9.58,94,98,15.55
149,Champerico,GT,2022-02-12 23:38:28,14.3,-91.9167,91.94,59,1,9.62
150,Geraldton,AU,2022-02-12 23:38:28,-28.7667,114.6,66.61,82,4,9.22
151,Thompson,CA,2022-02-12 23:38:29,55.7435,-97.8558,-7.44,54,0,6.91
152,Camacha,PT,2022-02-12 23:38:29,33.0833,-16.3333,59.76,77,40,6.91
153,Luanda,AO,2022-02-12 23:36:30,-8.8368,13.2343,76.32,86,57,7.49
154,Camopi,GF,2022-02-12 23:38:30,3.1655,-52.3158,72.48,99,61,2.51
155,Evensk,RU,2022-02-12 23:38:30,61.95,159.2333,-6.11,76,20,6.35
156,Pochutla,MX,2022-02-12 23:38:31,15.7432,-96.4661,85.05,52,2,4.25
157,Port Lincoln,AU,2022-02-12 23:38:31,-34.7333,135.8667,75.13,41,100,11.86
158,Araouane,ML,2022-02-12 23:38:32,18.9048,-3.5265,61.9,17,2,11.12
159,Moanda,GA,2022-02-12 23:38:32,-1.5575,13.2178,71.37,92,98,1.72
160,Auki,SB,2022-02-12 23:38:33,-8.7676,160.7034,81.68,75,95,1.16
161,Yessentukskaya,RU,2022-02-12 23:38:33,44.0328,42.8813,35.62,76,17,11.63
162,Beyneu,KZ,2022-02-12 23:38:33,45.3167,55.2,38.8,83,100,7.74
163,Longyearbyen,SJ,2022-02-12 23:38:34,78.2186,15.6401,10.24,72,0,10.36
164,Ilhabela,BR,2022-02-12 23:38:35,-23.7781,-45.3581,74.46,86,73,5.59
165,San Cristobal,VE,2022-02-12 23:38:36,7.7669,-72.225,73.58,62,88,1.57
166,Palana,RU,2022-02-12 23:38:36,59.1167,159.9667,-3.69,87,24,4.94
167,Carnarvon,AU,2022-02-12 23:38:36,-24.8667,113.6333,82.47,74,62,5.75
168,Baijiantan,CN,2022-02-12 23:38:37,45.6333,85.1833,15.03,89,100,4.09
169,Samarai,PG,2022-02-12 23:38:37,-10.6167,150.6667,82.42,66,63,7.81
170,Ayame,CI,2022-02-12 23:38:38,5.6083,-3.1563,76.44,88,83,3.44
171,Nongan,CN,2022-02-12 23:38:38,44.382,125.1685,-3.59,84,52,6.2
172,Alcaniz,ES,2022-02-12 23:38:38,41.05,-0.1333,49.75,77,94,2.35
173,Adrar,MR,2022-02-12 23:38:39,20.5022,-10.0711,62.02,26,51,10.76
174,Sompeta,IN,2022-02-12 23:38:39,18.9333,84.6,64.85,58,52,5.46
175,Tocopilla,CL,2022-02-12 23:38:40,-22.092,-70.1979,71.22,71,20,9.37
176,Shintomi,JP,2022-02-12 23:38:41,32.0785,131.4723,54.72,95,100,14.27
177,Georgetown,MY,2022-02-12 23:38:41,5.4112,100.3354,78.89,84,20,8.05
178,Nhamunda,BR,2022-02-12 23:38:42,-2.1861,-56.7131,76.82,87,100,2.82
179,Yepocapa,GT,2022-02-12 23:38:42,14.5042,-90.9569,71.65,81,50,1.07
180,Saldanha,ZA,2022-02-12 23:38:43,-33.0117,17.9442,66.25,89,92,15.32
181,Caravelas,BR,2022-02-12 23:38:43,-17.7125,-39.2481,75.13,90,100,4.79
182,Taoudenni,ML,2022-02-12 23:39:44,22.6783,-3.9836,62.15,23,0,10.83
183,Topolobampo,MX,2022-02-12 23:39:44,25.6,-109.05,79.05,31,100,8.05
184,Jaguaribe,BR,2022-02-12 23:39:45,-5.8906,-38.6219,78.6,69,51,8.32
185,Dzhebariki-Khaya,RU,2022-02-12 23:39:45,62.2167,135.8,-32.85,100,100,1.57
186,Figeac,FR,2022-02-12 23:39:45,44.75,1.9167,44.35,96,66,5.14
187,Aljezur,PT,2022-02-12 23:39:46,37.3191,-8.8033,53.44,86,72,5.84
188,Saint George,US,2022-02-12 23:36:33,37.1041,-113.5841,70.27,9,0,0.0
189,Ribeira Do Pombal,BR,2022-02-12 23:39:46,-10.8344,-38.5358,77.86,75,98,4.94
190,Beloha,MG,2022-02-12 23:39:47,-25.1667,45.05,73.44,85,4,15.21
191,Lahij,YE,2022-02-12 23:39:47,13.1667,44.5833,67.57,78,74,1.66
192,Sovetskiy,RU,2022-02-12 23:39:48,61.3614,63.5842,-3.3,100,100,5.08
193,Bambous Virieux,MU,2022-02-12 23:39:48,-20.3428,57.7575,77.25,94,75,3.44
194,Port Alfred,ZA,2022-02-12 23:39:48,-33.5906,26.891,74.7,94,31,9.4
195,Broken Hill,AU,2022-02-12 23:39:49,-31.95,141.4333,82.11,30,35,20.71
196,Yulara,AU,2022-02-12 23:39:49,-25.2406,130.9889,78.64,27,0,8.05
197,Novoorsk,RU,2022-02-12 23:39:50,51.381,58.9813,21.85,97,65,3.62
198,Keti Bandar,PK,2022-02-12 23:39:50,24.1447,67.4497,68.88,56,0,10.54
199,Hasaki,JP,2022-02-12 23:39:51,35.7333,140.8333,36.28,60,47,7.02
200,Cap Malheureux,MU,2022-02-12 23:39:51,-19.9842,57.6142,77.49,87,15,5.01
201,Cabo San Lucas,MX,2022-02-12 23:39:51,22.8909,-109.9124,83.5,40,0,8.05
202,Castro,BR,2022-02-12 23:39:52,-24.7911,-50.0119,63.91,69,32,6.42
203,Kalmunai,LK,2022-02-12 23:39:52,7.4167,81.8167,75.27,90,100,3.94
204,Mitsamiouli,KM,2022-02-12 23:39:53,-11.3847,43.2844,80.02,78,78,8.39
205,Srednekolymsk,RU,2022-02-12 23:39:53,67.45,153.6833,-26.39,96,91,7.05
206,Shwebo,MM,2022-02-12 23:39:54,22.5667,95.7,57.0,71,2,7.34
207,Port Shepstone,ZA,2022-02-12 23:39:54,-30.7414,30.455,75.09,88,33,15.1
208,Tabou,CI,2022-02-12 23:39:55,4.423,-7.3528,78.17,86,7,6.49
209,Kerema,PG,2022-02-12 23:39:55,-7.9631,145.7785,82.53,62,13,2.98
210,Iquique,CL,2022-02-12 23:38:48,-20.2208,-70.1431,69.84,79,4,5.23
211,Pacific Grove,US,2022-02-12 23:39:56,36.6177,-121.9166,83.88,46,0,4.61
212,Barrow,US,2022-02-12 23:39:56,71.2906,-156.7887,-29.18,68,75,9.22
213,Norman Wells,CA,2022-02-12 23:39:57,65.282,-126.8329,-14.76,76,75,3.44
214,Bilma,NE,2022-02-12 23:39:58,18.6853,12.9164,62.08,17,0,7.56
215,Maragogi,BR,2022-02-12 23:39:58,-9.0122,-35.2225,80.04,79,9,10.2
216,Guerrero Negro,MX,2022-02-12 23:39:59,27.9769,-114.0611,74.86,29,100,7.9
217,Roald,NO,2022-02-12 23:39:59,62.5833,6.1333,42.94,81,75,13.8
218,Puerto Rondon,CO,2022-02-12 23:40:00,6.2805,-71.1,81.12,52,100,5.99
219,Sabha,LY,2022-02-12 23:40:01,27.0377,14.4283,51.06,33,0,9.19
220,Avera,US,2022-02-12 23:40:01,33.194,-82.5271,64.45,56,80,7.34
221,Boali,CF,2022-02-12 23:40:02,4.8005,18.1275,76.87,23,61,3.6
222,Aklavik,CA,2022-02-12 23:40:02,68.2191,-135.0107,-17.57,69,75,3.44
223,Leningradskiy,RU,2022-02-12 23:40:03,69.3833,178.4167,-18.11,95,95,4.45
224,Nishihara,JP,2022-02-12 23:40:04,26.1842,127.7558,70.88,78,75,8.05
225,Verkhnevilyuysk,RU,2022-02-12 23:40:06,63.4453,120.3167,-24.03,100,100,1.99
226,Bengkulu,ID,2022-02-12 23:40:06,-3.8004,102.2655,75.7,82,97,4.72
227,Neuquen,AR,2022-02-12 23:39:15,-38.9516,-68.0591,82.29,16,0,6.91
228,Bonavista,CA,2022-02-12 23:40:07,48.6499,-53.1147,45.12,77,99,26.93
229,Isla Vista,US,2022-02-12 23:40:07,34.4133,-119.861,86.36,22,0,0.0
230,Santa Cruz,BO,2022-02-12 23:41:07,-17.8,-63.1667,77.05,69,75,17.27
231,Uchiza,PE,2022-02-12 23:41:08,-8.4592,-76.4633,71.64,97,100,2.26
232,Broome,US,2022-02-12 23:41:08,42.2506,-75.833,34.02,73,100,7.0
233,Hawera,NZ,2022-02-12 23:41:09,-39.5917,174.2833,53.67,94,100,29.95
234,Thinadhoo,MV,2022-02-12 23:41:10,0.5333,72.9333,81.1,73,100,10.04
