City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Delmas,HT,77.72,clear sky,18.5447,-72.3028,Idéal Villa Hôtel
154,Mitsamiouli,KM,80.73,light rain,-11.3847,43.2844,Foyer ADM
155,Bambous Virieux,MU,83.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
156,Ankazoabo,MG,78.98,scattered clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
163,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
170,Tampakan,PH,89.29,overcast clouds,6.4442,124.9264,AJ Hotel
173,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
174,Luang Prabang,LA,76.96,scattered clouds,19.8856,102.1347,The Apsara
175,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
177,Natal,BR,80.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
178,Inhambane,MZ,77.7,overcast clouds,-23.865,35.3833,Oceano
187,Makasar,ID,84.25,scattered clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
190,Kendari,ID,79.05,overcast clouds,-3.945,122.4989,Hotel Wixel
200,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
214,Nanakuli,US,76.98,clear sky,21.3906,-158.1547,Camp Pālehua
227,Mackay,AU,81.68,scattered clouds,-21.15,149.2,International Lodge Motel
231,Mount Gambier,AU,84.11,overcast clouds,-37.8333,140.7667,The Commodore
239,Chum Phae,TH,89.2,overcast clouds,16.5443,102.0992,Major Grand
241,Teahupoo,PF,78.76,broken clouds,-17.8333,-149.2667,Vanira Lodge
243,Vung Tau,VN,83.05,scattered clouds,10.346,107.0843,Green hotel
246,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
250,Souillac,MU,83.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
252,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
260,Meulaboh,ID,85.15,overcast clouds,4.1363,96.1285,Kost Pria
262,Pochutla,MX,77.85,few clouds,15.7432,-96.4661,Hotel Posada San Jose
263,Antalaha,MG,78.12,clear sky,-14.9003,50.2788,Hotel Vitasoa
266,Esperance,AU,75.04,clear sky,-33.8667,121.9,Hospitality Esperance
268,Gamba,GA,76.87,overcast clouds,-2.65,10.0,
269,Guacimo,CR,79.38,scattered clouds,10.2104,-83.6807,Hotel Los Ríos
270,Ambilobe,MG,77.9,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
272,Sao Filipe,CV,76.84,overcast clouds,14.8961,-24.4956,Hotel Xaguate
277,Tabou,CI,77.23,light rain,4.423,-7.3528,hotêl doufoulougou
278,Daru,PG,84.83,scattered clouds,-9.0763,143.2092,Daru Lodge
279,Poum,NC,82.53,overcast clouds,-20.2333,164.0167,
281,Roxana,CR,79.32,scattered clouds,10.2753,-83.7513,3BYES1
283,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
286,Iralaya,HN,76.71,few clouds,15.0,-83.2333,Iglesia morava renovada
288,Forbes,AU,89.92,clear sky,-33.3833,148.0167,Lake Forbes Motel
289,Nabire,ID,81.72,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
291,Angoram,PG,88.03,moderate rain,-4.0625,144.0661,
295,Piacabucu,BR,78.87,clear sky,-10.4056,-36.4344,Piaçabuçu News
301,Sinnamary,GF,75.61,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
309,La Palma,US,76.01,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
310,Mount Isa,AU,76.77,thunderstorm with heavy rain,-20.7333,139.5,ibis Styles Mt Isa Verona
312,Kanniyakumari,IN,82.78,overcast clouds,8.0833,77.5667,Sparsa
317,Cockburn Town,TC,77.27,clear sky,21.4612,-71.1419,Osprey Beach Hotel
318,Auki,SB,81.73,overcast clouds,-8.7676,160.7034,Auki Motel
323,Omboue,GA,77.56,light rain,-1.5746,9.2618,Hotel Olako
331,Sungairaya,ID,83.8,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
335,Khed Brahma,IN,75.92,clear sky,24.0333,73.05,UMIYA NASTA HOUSE
340,Porto Belo,BR,76.24,few clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
347,Chirongui,YT,82.33,light rain,-12.9319,45.1483,La Villa Mahatsara
353,Anito,PH,78.94,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
357,Santa Cruz Cabralia,BR,77.23,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
364,Codrington,AU,77.49,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
368,Nelson Bay,AU,77.95,broken clouds,-32.7167,152.15,Mantra Nelson Bay
372,Pemangkat,ID,83.68,broken clouds,1.1667,108.9667,Ramah Kost KITA
375,Itarema,BR,77.0,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
377,Narayanpet,IN,80.02,broken clouds,16.7333,77.5,Hasaan qureshi
378,Luganville,VU,77.83,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
